"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2","0.000124","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3","1.000431","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4","1.000585","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5","2.001075","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"6","2.001215","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"7","3.001862","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"8","3.001966","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"9","7.355253","169.254.11.144","169.254.255.255","BROWSER","243","Local Master Announcement HP, Workstation, Server, SQL Server, NT Workstation, Potential Browser, Master Browser"
"10","7.355470","10.10.62.44","10.10.63.255","BROWSER","243","Host Announcement HP, Workstation, Server, SQL Server, NT Workstation, Potential Browser"
"11","11.422323","10.10.62.44","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"12","46.083371","169.254.11.144","169.254.255.255","BROWSER","245","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"13","120.004045","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"14","120.004172","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"15","121.005168","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"16","121.005272","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"17","122.006612","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"18","122.006732","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"19","123.008024","169.254.11.144","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"20","123.008120","10.10.62.44","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"21","176.974022","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x76c00ca9"
"22","176.974240","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x76c00ca9"
"23","181.913706","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x76c00ca9"
"24","181.913829","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x76c00ca9"
"25","186.841539","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x76c00ca9"
